n, Insert, Merge
261,0.06197,0.048916
262,0.068475,0.049461
263,0.084418,0.048424
264,0.064471,0.049822
265,0.066626,0.049111
266,0.067614,0.048515
267,0.067547,0.050429
268,0.071784,0.049578
269,0.071076,0.04963
270,0.067748,0.050418
271,0.071915,0.04987
272,0.068651,0.051266
273,0.067018,0.051086
274,0.073938,0.05060001
275,0.074184,0.050322
276,0.07443999,0.051343
277,0.073294,0.05099
278,0.0757,0.052828
279,0.07632399,0.051345
280,0.074515,0.052936
281,0.078453,0.052688
282,0.08968601,0.052989
283,0.076755,0.052391
284,0.0774,0.05297299
285,0.081133,0.052375
286,0.07137,0.053334
287,0.078399,0.051567
288,0.07770599,0.053614
289,0.07979099,0.05371699
290,0.077458,0.053631
291,0.07393,0.05344
292,0.085519,0.054951
293,0.07799,0.054868
294,0.083362,0.054336
295,0.082125,0.053537
296,0.084865,0.053689
297,0.07982,0.05386
298,0.08582599,0.055186
299,0.084666,0.055202
300,0.081938,0.066831
301,0.081101,0.054649
302,0.080529,0.055854
303,0.090309,0.05535199
304,0.107409,0.068433
305,0.088504,0.056149
306,0.08558001,0.056517
307,0.085612,0.057108
308,0.144771,0.057196
309,0.08634201,0.056296
310,0.08901799,0.05727699
311,0.088256,0.058343
312,0.091717,0.057885
313,0.090474,0.057958
314,0.091677,0.05772
315,0.11362,0.059276
316,0.099163,0.059369
317,0.094184,0.058823
318,0.09099299,0.05829199
319,0.096977,0.058979
320,0.12484299,0.059564
321,0.103169,0.059139
322,0.089643,0.059634
323,0.098759,0.060058
324,0.098591,0.060006
325,0.095537,0.060142
326,0.1031,0.060473
327,0.10185499,0.062211
328,0.09956399,0.07372101
329,0.097899,0.060866
330,0.100128,0.060727
331,0.118497,0.06983
332,0.102619,0.06078
333,0.1004,0.062119
334,0.100021,0.061446
335,0.101873,0.061318
336,0.101643,0.061692
337,0.10967001,0.06306
338,0.112722,0.063111
339,0.106067,0.063576
340,0.106709,0.06297
341,0.103746,0.063862
342,0.107321,0.063578
343,0.106289,0.081795
344,0.107251,0.06287301
345,0.109568,0.066144
346,0.10882001,0.064041
347,0.106126,0.065043
348,0.111589,0.064506
349,0.115747,0.064637
350,0.115403,0.065065
351,0.116656,0.065167
352,0.108024,0.06523
353,0.113002,0.065549
354,0.119845,0.067112
355,0.115026,0.065324
356,0.120596,0.066767
357,0.115058,0.083936
358,0.122896,0.067334
359,0.10956001,0.066647
360,0.114619,0.067261
361,0.121665,0.068184
362,0.123432,0.068427
363,0.117468,0.066605
364,0.120355,0.068135
365,0.123297,0.069432
366,0.120783,0.069512
367,0.121512,0.069959
368,0.119772,0.069376
369,0.119179,0.070269
